0 1 41.59,-15 40.69 41.4
0 6 13.9,-6 23.59 35.4
0 9 52.61,12 44.08 4.8
0 10 25.61,33 29.62 37.2
0 10 30.79,10 58.22 13.2
0 17 58.2,-22 38.06 3.6
0 19 39.79,26 2.87 52.2
0 20 21.5,-20 28.85 51
0 20 25.2,15 40.91 54.6
0 22 24.6,23 17.47 28.2
0 24 30.1,-29 28.91 54.6
0 29 14.21,34 56.53 31.8
0 34 5.59,6 20.87 52.2
0 34 5.69,6 20.57 34.2
0 34 28.7,40 35.96 57.6
0 36 6.41,18 37.99 59.4
0 36 16.2,8 15.08 4.8
0 37 4.1,-1 9.13 7.8
0 37 5.5,25 41.93 55.8
0 37 52.9,18 20.66 39.6
0 37 54.7,18 20.92 55.2
0 38 18,12 27.52 31.2
0 41 25.99,-1 43.25 15
0 41 42.6,21 23.7 42
0 43 8.81,52 3.56 33.6
0 46 29.3,20 28.09 5.4
0 49 0.41,22 53.35 21
0 49 33.41,20 36.56 33.6
0 49 43.3,24 27.82 49.2
0 50 56.3,51 12.05 3
0 53 43.01,-21 44.18 10.8
0 53 44.5,29 25.13 7.8
0 55 50.59,26 24.62 37.2
0 56 2.71,-1 20.06 3.6
0 57 34.9,-1 23.47 28.2
0 57 48.89,30 21.15 9
0 58 22.7,26 51.92 55.2
1 7 24.91,32 24.75 45
1 8 38.81,1 35 0
1 9 43.61,73 11.93 55.8
1 11 4.9,-14 22.54 32.4
1 12 10.2,20 20.36 21.6
1 12 59.81,15 29.48 28.8
1 13 24.19,29 58.25 15
1 16 25.01,-47 22.7 42
1 19 1.3,8 29.92 55.2
1 25 44.3,-1 22.76 45.6
1 25 59.9,-1 20.55 33
1 26 54.41,19 12.88 52.8
1 29 59.81,23 38.33 19.8
1 31 32.9,0 0 0
1 33 24.6,24 27.68 40.8
1 36 24.41,20 57.45 27
1 37 41.3,33 9.58 34.8
1 38 49.01,18 49.52 31.2
1 39 30.41,39 57.05 3
1 41 9.1,13 53.47 28.2
1 42 4.3,7 39.04 2.4
1 43 55.99,6 24.64 38.4
1 52 18,22 7.13 7.8
1 52 46.51,36 9.11 6.6
1 57 34.9,74 42.71 42.6
1 58 33.41,-24 59.53 31.8
2 0 52.99,39 35.02 1.2
2 4 34.7,9 3.82 49.2
2 4 50.4,15 14.18 10.8
2 9 38.5,35 47.85 51
2 14 17.4,-11 58.76 45.6
2 17 30.79,73 49.55 33
2 22 33.41,42 20.95 57
2 23 11.4,42 59.51 30.6
2 24 28.39,6 59.38 22.8
2 28 49.99,67 21.05 3
2 32 28.9,34 23.78 46.8
2 34 23.81,31 34.28 16.8
2 41 3.7,8 46.12 7.2
2 41 4.8,-8 15.35 21
2 41 22.2,10 18.79 47.4
2 42 40.7,0 0 0
2 47 2.4,15 25.28 16.8
2 51 0.89,46 57.28 16.8
2 57 41.59,6 1.48 28.8
2 57 43.1,63 33.86 51.6
2 59 14.81,13 27.2 12
2 59 58.61,36 49.24 14.4
3 1 42.41,35 12.35 21
3 3 15,16 26.32 19.2
3 4 41.3,33 48.73 43.8
3 8 10.01,57 41.96 57.6
3 8 26.21,4 6.65 39
3 10 31.01,44 35.8 48
3 12 26.5,39 16.5 30
3 18 15.6,41 51.47 28.2
3 18 19.01,68 29.51 30.6
3 19 20.69,31 2.2 12
3 19 48.1,41 30.7 42
3 20 28.7,-2 8.63 37.8
3 20 57.5,-45 15.19 11.4
3 22 41.69,-37 12.5 30
3 28 50.3,39 40.75 45
3 29 24.19,39 47.7 42
3 30 30.89,24 47.85 51
3 30 40.9,-3 8.27 16.2
3 34 15.6,-1 10.93 55.8
3 36 30.1,32 18.49 29.4
3 38 14.11,10 5.05 3
3 38 28.99,-35 27.04 2.4
3 58 54.41,10 26.05 3
4 3 5.59,26 0.04 2.4
4 7 48.41,-12 11.62 37.2
4 8 51.5,-24 18.26 15.6
4 10 45.6,76 56.75 45
4 12 43.7,23 5.08 4.8
4 13 40.39,11 12.23 13.8
4 14 29.81,14 16.4 24
4 14 37.8,5 34.7 42
4 16 52.51,1 5.4 24
4 18 21.31,38 1.6 36
4 19 43.61,-18 1.85 51
4 23 15.79,-1 20.55 33
4 32 36.5,41 38.47 28.2
4 33 11.11,5 21.26 15.6
4 38 4.9,30 4.76 45.6
4 39 9.19,-24 22.13 7.8
4 41 52.8,8 27.55 33
4 48 21.7,9 50.85 51
4 49 9.1,45 0.65 39
4 51 20.59,-17 30.2 12
4 52 52.8,52 4.78 46.8
4 56 8.9,-21 59.15 9
4 59 43.99,5 19.72 43.2
5 0 1.99,5 29.17 10.2
5 2 58.51,25 16.42 25.2
5 4 42.19,38 6.19 11.4
5 7 36.41,3 7.87 52.2
5 10 2.4,18 0.7 42
5 14 8.3,0 0 0
5 16 15.89,-16 3.13 7.8
5 16 46.61,10 57.92 55.2
5 19 49.7,-45 46.73 43.8
5 21 9.91,16 38.36 21.6
5 22 58.01,-36 27.52 31.2
5 24 27.1,28 12.79 47.4
5 30 56.4,13 31.91 54.6
5 41 16.2,53 12.41 24.6
5 41 49.2,47 29.14 8.4
5 42 36.1,49 51.11 6.6
5 48 27.6,-32 58.63 37.8
5 48 43.8,26 36.41 24.6
5 50 40.51,-32 16.28 16.8
5 51 18.79,16 36.68 40.8
5 52 11.4,-7 27.37 22.2
5 55 18.7,-20 29.93 55.8
6 7 59.71,-8 34.84 50.4
6 15 36.31,71 2.25 15
6 35 46.49,-75 16.28 16.8
6 52 12.19,74 25.61 36.6
6 55 14.81,54 9 0
7 2 8.09,32 57.43 25.8
7 7 37.01,35 5.06 3.6
7 9 18.1,74 49.54 32.4
7 10 46.1,47 32.18 10.8
7 13 2.4,11 46.25 15
7 13 38.09,43 49.28 16.8
7 14 24.79,35 34.67 40.2
7 16 31.2,-29 19.48 28.8
7 16 41.21,53 23.15 9
7 17 51.79,45 38.05 3
7 21 53.4,71 20.6 36
7 24 6.79,38 3.82 49.2
7 24 53.59,66 59.15 9
7 25 50.59,0 0 0
7 28 10.9,67 48.79 47.4
7 33 8.81,25 36.41 24.6
7 37 30.1,59 41.05 3
7 38 7.39,17 42.32 19.2
7 41 38.5,44 4.09 5.4
7 44 17.4,37 53.29 17.4
7 45 41.69,31 42.95 57
7 48 36.1,24 0.4 24
7 49 27.19,52 2.55 33
7 50 52.01,12 31.09 5.4
7 50 57.7,82 41.96 57.6
7 54 58.3,29 41.9 54
7 55 37.01,25 42.65 39
7 58 28.1,37 47.2 12
7 59 16.01,27 8.96 57.6
8 0 53.81,39 24.64 38.4
8 1 33.5,14 14.72 43.2
8 4 25.01,60 40.13 7.8
8 4 48,10 15.4 24
8 7 57.5,4 32.59 35.4
8 8 53.59,-10 27.67 40.2
8 15 22.9,1 55 0
8 15 25.9,36 35.25 15
8 23 24.7,22 23.05 3
8 25 38.59,61 57.49 29.4
8 26 1.01,69 20.62 37.2
8 27 25.39,29 18.75 45
8 29 4.8,17 54.26 15.6
8 30 53.4,19 13.27 16.2
8 31 48.89,4 29.65 39
8 32 19.61,27 52.76 45.6
8 32 23.21,49 13.35 21
8 34 54.89,55 34.35 21
8 37 22.39,58 25.03 1.8
8 37 44.9,65 13.58 34.8
8 39 6.41,57 54.28 16.8
8 39 6.91,19 21.82 49.2
8 39 15.79,28 50.65 39
8 40 2.3,29 49.05 3
8 40 47.59,13 12.4 24
8 41 13.1,32 24.98 58.8
8 41 24.29,70 53.7 42
8 42 5.11,18 35.68 40.8
8 43 12.41,61 29.74 44.4
8 47 53.69,53 52.61 36.6
8 47 58.99,31 47.14 8.4
8 53 8.59,13 52.91 54.6
8 54 42,57 57.5 30
8 58 41.5,14 9.73 43.8
9 2 16.8,-14 15.52 31.2
9 3 4.01,46 51.07 4.2
9 3 53.09,67 57.38 22.8
9 5 30.1,34 7.95 57
9 6 31.9,16 46.2 12
9 8 2.21,-9 59.62 37.2
9 8 35.81,41 50.77 46.2
9 9 29.71,-9 22.82 49.2
9 9 33.5,42 53.77 46.2
9 10 35.9,-10 34.95 57
9 11 53.21,37 24.22 13.2
9 12 35.3,16 0.05 3
9 12 40.49,16 0.32 19.2
9 13 45.5,40 56.47 28.2
